id,FC,VF,MSF,RMSF,RVF,CP1,CP2,Kurtosis,Skewness,ave,var,rms,peak,kur,impul,cl,peakind,sf,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
1,268.4692108,8061.007473,80136.7246,283.0843065,89.78311352,-0.077798352,1.276234282,1.838161471,-0.378316872,0.004764899,0.340345416,0.583362149,3.119566667,7.983961873,8.689501336,12.01367202,5.347564415,1.624945613,1.212872974,2.323385086,0.23770491,7.664992057,1.867350433,0.633539809,12.51253684,113.9679895,3.244359331,4.213794565,0.324193383,4.797798561,23.78855577,5.217119415,47.57550535,318.4006478,3.409219954,2.411042928,1.304581017,29.51194307,3.831180935,0.351734039,6.808086221,7.401556436,185.4536392,199.9692429,23.99606154,314.7383145,4731.636821,242.6343716,1204.801034,974.4585344,60.15931988,105.0683542,19.67088194,904.1607885,53.26365697,12.10987945,96.64206581,144.3260794,6.551380717,3.829704134,0.143700412,0.426517629,2.046603439,0.234429709,0.268461674,0.790201989,11.24300036,2.015700149,0.349172536,5.682839735,1.271697113,0.374337261,4.944625567,5.693678933,60.60689085,7.417616468,0.42164703,0.280938312,2.740521378,0.077313806,0.132531263,0.309788373,7
2,93.49405195,8933.864908,17675.00266,132.947368,94.51912456,1.499638421,1.225012724,2.162756422,1.41088697,0.015330519,0.004322357,0.067503048,0.221966769,2.854917756,4.094911636,4.82317035,3.288248081,1.245317122,24.37285767,9.169141704,0.958307961,4.211678791,0.370620885,0.09993975,2.028844694,18.72021805,0.782065551,0.526109207,0.191931265,5.177744451,17.52471059,1.024306757,5.257306742,6.316800681,0.630054288,0.32208567,0.016512527,0.64215665,0.132047045,0.030545616,1.502663183,0.042685089,0.239225754,3.060475698,0.052389639,0.036375044,0.142682901,0.014736101,0.284326761,0.064074797,0.003331903,0.005528608,0.00041501,0.007197883,0.001071989,0.000543946,0.022717683,0.006352227,0.000209748,0.012930242,0.000219132,0.000263423,0.001510635,0.000172271,0.001159625,0.002237661,0.016468878,0.015259503,0.00200942,0.040502999,0.005299568,0.000283375,0.001934485,0.000865576,0.007440273,0.003088216,0.000132979,0.000391046,0.007227227,8.46E-05,0.000604172,0.000278002,0
3,246.1549867,8902.390714,69494.66818,263.618414,94.35248123,-0.110239341,1.583281322,1.80162726,0.078123149,0.003269616,0.292002414,0.540337337,5.706752196,24.96189057,21.33349121,32.51456946,10.5614619,2.019937336,31.20951848,6.483818486,4.783648706,408.3503669,9.876495557,20.77133131,326.6983538,153.9711718,20.01530835,62.63918621,1.982747447,3.37034759,44.50026049,22.14323895,154.3931808,216.7854247,59.05418349,11.86276558,6.298036111,151.4363719,26.82923759,1.652317558,13.50659321,6.989298804,2581.64565,389.6079005,77.76661672,418.0705437,7295.229021,276.0350484,756.5935001,521.5486408,43.49240759,490.7735044,35.96680665,637.0248831,174.1005177,39.37000863,227.1872771,309.4833428,3.782422246,1.840375146,0.151585177,1.011040439,8.861111243,1.427459426,11.07519394,66.41429258,5.018323345,5.258270659,0.432141055,5.274565463,0.211425224,0.227039378,7.064844988,2.699391991,7.781786379,10.29946847,0.702513565,1.028453496,71.10986406,0.7922957,4.014441586,7.857966663,9
4,234.5686724,8787.409918,63809.87199,252.6061598,93.74118581,-0.147682893,1.312242807,1.826432948,0.314849365,0.004025684,0.134198498,0.366322724,3.83387515,37.94295679,24.06276045,37.09822254,10.46584037,2.299171362,0.701180855,3.678435615,0.853500991,12.27649927,3.991463564,5.637064223,96.56717663,86.60625888,2.770024471,2.787844025,0.251977281,1.033886217,32.08627024,8.006872564,62.52655642,78.84623046,3.034208011,1.428132814,0.233561695,3.461660797,0.442731254,0.247989496,1.314817562,2.409225132,118.0069839,214.2698867,16.79196971,153.4959521,893.534783,106.7568187,577.9438746,112.229442,6.524743677,29.68107,5.866139973,115.0577694,31.13352846,9.481002631,42.66861595,18.9339286,1.289301125,1.211311252,0.053559785,0.112263347,0.481830547,0.020251254,0.053470472,0.086139043,1.263340096,0.505050941,0.112633964,0.510814612,0.036656433,0.004311721,0.064925638,0.061669593,0.788729265,0.130160109,0.006972069,0.007229274,0.021091915,0.000951729,0.005740042,0.008705662,9
5,257.0059683,8037.124399,74089.19214,272.1932992,89.65001059,-0.248314692,0.902463105,1.805757013,-0.146934845,0.013257982,0.05475429,0.234352167,1.652452575,7.993715444,10.1549462,12.75277254,7.051151262,1.440182719,1.866028355,3.908002979,0.209096839,4.626413483,0.833488087,0.313125388,5.589582744,14.24554322,0.432251469,0.542397691,0.084045061,0.50157778,10.03900584,1.759740087,4.297198832,29.76931346,1.683982386,0.387172371,0.07162236,1.911980574,0.230568341,0.051260336,0.363250378,0.736899972,19.88674802,38.0734214,5.531018746,87.52641504,627.392459,31.97160381,383.9062115,42.61174472,2.852738727,22.71093204,5.250354581,157.4638761,14.06612427,3.060339065,21.70339104,31.67841476,0.881092353,0.751679556,0.044549747,0.100519014,0.792710624,0.086665466,0.169155974,0.772913265,15.05062462,2.146286441,0.577843495,2.217767075,0.130323944,0.024042177,0.167951808,0.054027221,1.621078869,0.274193816,0.010276374,0.040686713,0.591812945,0.003221643,0.008129598,0.080495692,7
6,93.00017454,8526.555764,17175.58823,131.0556684,92.33935111,1.500371541,1.21966908,2.161094103,1.410625772,0.014467373,0.004230039,0.066623113,0.227495077,2.801231007,4.240432455,4.985499937,3.414656957,1.241832637,16.50747722,11.96148791,0.926093902,10.31666952,0.597902336,0.16611209,4.669431065,19.11781328,1.212227252,0.633189364,0.142751083,2.987167766,9.477560547,0.927254958,3.139798752,1.500136367,0.218634301,0.13705398,0.019669571,0.319382378,0.066004881,0.043034254,2.546254343,0.040389583,0.288970924,4.888677475,0.110903244,0.11955252,0.438260864,0.025586695,0.881706173,0.115752095,0.002490808,0.003296985,0.000460014,0.006975046,0.001303747,0.000827665,0.041381747,0.005685845,0.000303227,0.022106628,0.000346601,0.000115848,0.001342198,0.000164748,0.001045951,0.005348843,0.012537123,0.010469396,0.003196586,0.044190687,0.007341474,0.000193963,0.001605468,0.000454207,0.007821306,0.002847455,0.00013205,0.000306925,0.004351822,2.58E-05,7.99E-05,2.77E-05,0
7,225.9773375,4937.228706,56002.98576,236.6494998,70.26541614,0.041159252,1.317227375,1.861958848,0.482103082,0.005595755,0.721821203,0.84954824,3.299869661,4.083665028,5.105070895,6.148814244,3.884264018,1.314295545,1.65909676,2.052369021,0.276368227,13.63750745,1.573846681,1.3335663,9.71226509,25.65543611,0.819293326,2.060611013,0.293762145,3.169139056,25.97812746,4.006668629,48.17754762,120.2695231,4.388168724,3.65401369,0.913582188,38.29792375,5.953865857,1.33301765,13.17732438,3.68726727,100.9663256,901.5522119,137.8825848,1142.752378,23382.74627,1334.748232,7251.548948,2622.593019,104.9533151,201.0510898,32.56101596,584.3807636,38.42546622,3.251646031,19.06731456,4.935262132,0.251877168,0.251001736,0.027751322,0.091114429,1.265370525,0.069098448,0.089927012,0.27819246,12.8511092,1.527421656,0.342961997,1.504259206,0.061130098,0.020092144,0.2540554,0.270147229,5.976264051,1.429184735,0.047680199,0.11722993,1.5322765,0.010256221,0.032295768,0.109018292,7
8,93.2624835,8538.477718,17236.36855,131.2873511,92.40388367,1.522204077,1.206606776,2.161978191,1.410765579,0.013826715,0.004134137,0.065761886,0.229685538,2.93151846,4.355172707,5.118580116,3.492684781,1.246941244,30.64991453,9.664932434,0.696281813,7.661500393,0.450298135,0.135666341,4.051550598,17.13322668,1.265522535,0.498048199,0.14333363,2.559969987,10.33502301,1.636603345,5.037259157,4.841106319,0.542706056,0.214432177,0.028889444,0.160662735,0.024971355,0.043865573,2.670437603,0.056246934,0.406747057,4.947544375,0.116381546,0.231904516,1.663680903,0.06258979,3.599510329,0.097749944,0.004541613,0.009308413,0.000757602,0.006352288,0.001898702,0.0012274,0.045898439,0.010078053,0.000364235,0.023255491,0.000370606,0.000162971,0.003839619,0.000701481,0.001708243,0.008933469,0.075066475,0.020905657,0.005085502,0.044511948,0.00419877,0.000353376,0.002495057,0.000662255,0.007086227,0.005062317,0.000201229,0.000514945,0.004098264,5.70E-05,0.000449095,0.000186336,0
9,208.1542001,9933.309823,53261.48085,230.78449,99.66599131,-0.154313096,0.910903867,1.966303302,0.790874326,0.004467562,0.013723034,0.117220755,0.970062595,13.22844101,12.05372911,14.95855196,8.275519055,1.456552639,1.937013496,2.202060876,0.148964721,31.4295938,1.529385752,0.344162292,8.146590634,16.27741394,0.664175967,1.327212342,0.17526619,0.277496345,4.784933679,1.419058443,49.62640741,46.76342289,2.773069918,1.644958509,0.091485116,1.095838847,0.140188422,0.020691797,0.211433266,0.123440793,3.383912012,8.39110542,0.659609959,6.053078548,167.0153944,17.12755583,139.8825075,25.88108939,2.093847766,5.705734664,1.097182391,9.471637264,0.613472741,0.075731521,0.533237036,1.480636211,0.024524536,0.01814981,0.001203958,0.008651596,0.1461357,0.006495027,0.011108279,0.020502461,0.57165602,0.168543747,0.025098155,0.255499762,0.011310368,0.003891985,0.047531221,0.014435993,0.135144823,0.046094783,0.003143797,0.004947298,0.051832988,0.00044941,0.003101735,0.000789715,2
10,237.2762511,8627.803837,64927.82317,254.809386,92.88597223,-0.154918679,1.280114863,1.818080942,0.260396393,0.003662235,0.121164266,0.348076836,3.627582535,30.92037147,22.67416183,34.15053725,10.42178668,2.175650157,7.832293227,2.787152189,0.920495142,57.51999111,6.17405373,4.911268632,97.95694041,112.4091051,2.982128326,6.614213652,0.553306744,1.662381959,80.65453963,16.31595978,75.4240716,95.49561443,38.94197427,3.605577805,0.457309549,6.183727043,0.742082651,0.262638919,2.247333498,2.848731068,204.5986182,212.3003079,18.59780853,152.3775846,712.777976,100.9553419,776.9674467,100.8815832,11.44185622,81.86451163,9.229999145,109.5458252,36.64815245,12.41881216,60.6431038,317.12813,0.731926583,1.152537876,0.050096563,0.29028901,1.892717197,0.054352084,0.217178088,0.413204681,3.562570945,1.334229467,1.241430445,3.992620353,0.139509904,0.037302274,0.412083629,0.089463691,0.874677083,0.330003376,0.014285995,0.014437274,0.012725239,0.005643205,0.065688537,0.041329641,9
